"record_index","accuracy","precision","recall","f1","sensitivity","specificity","jaccard","prediction","actual"
2,1,1,1,1,1,1,1,"Endocrine and metabolic function tests","Endocrine and metabolic function tests"
5,1,1,1,1,1,1,1,"Electroencephalography,MRI","Electroencephalography,MRI"
7,0.96,0,0,0,0,0.96,0,"Ultrasound",""
9,1,1,1,1,1,1,1,"Ultrasound","Ultrasound"
11,0.72,0,0,0,0,1,0,"","Full blood count,Blood biochemistry,Coagulation/fibrinolysis,Histopathology and cytology (including intraoperative rapid diagnosis),X-ray,CT,MRI"
12,0.96,0,0,0,0,0.96,0,"Pregnancy test",""
14,0.88,0,0,0,0,0.956521739130435,0,"Pregnancy test","Histopathology and cytology (including intraoperative rapid diagnosis),MRI"
15,0.8,0,0,0,0,1,0,"","Full blood count,Blood biochemistry,Histopathology and cytology (including intraoperative rapid diagnosis),Ultrasound,X-ray"
16,0.92,0,0,0,0,0.92,0,"Microbiological tests (bacterial smear, culture, identification, antibiotic sensitivity test),Nuclear medicine examination",""
18,0.88,1,0.4,0.571428571428572,0.4,1,0.4,"Urinalysis,Microbiological tests (bacterial smear, culture, identification, antibiotic sensitivity test)","Full blood count,Blood biochemistry,Immunoserology tests,Urinalysis,Microbiological tests (bacterial smear, culture, identification, antibiotic sensitivity test)"
19,1,1,1,1,1,1,1,"Endocrine and metabolic function tests","Endocrine and metabolic function tests"
23,0.96,0,0,0,0,0.96,0,"Urinalysis",""
26,0.96,1,0.666666666666667,0.8,0.666666666666667,1,0.666666666666667,"Full blood count,Blood biochemistry","Full blood count,Blood biochemistry,Immunoserology tests"
27,0.88,1,0.5,0.666666666666667,0.5,1,0.5,"CT,MRI,X-ray","Full blood count,Arterial blood gas analysis,Ultrasound,X-ray,CT,MRI"
28,1,1,1,1,1,1,1,"Endocrine and metabolic function tests","Endocrine and metabolic function tests"
31,1,1,1,1,1,1,1,"Ultrasound,Endoscopy","Ultrasound,Endoscopy"
32,0.72,0,0,0,0,1,0,"","Full blood count,Blood biochemistry,Coagulation/fibrinolysis,Immunoserology tests,Histopathology and cytology (including intraoperative rapid diagnosis),Ultrasound,X-ray"
35,0.68,1,0.111111111111111,0.2,0.111111111111111,1,0.111111111111111,"Arterial blood gas analysis","Full blood count,Blood biochemistry,Coagulation/fibrinolysis,Arterial blood gas analysis,Pleural fluid analysis,Ultrasound,X-ray,CT,Endoscopy"
36,0.76,1,0.142857142857143,0.25,0.142857142857143,1,0.142857142857143,"Endocrine and metabolic function tests","Full blood count,Blood biochemistry,Urinalysis,Stool (fecal) examination,Endocrine and metabolic function tests,Ultrasound,CT"
37,1,1,1,1,1,1,1,"Endoscopy","Endoscopy"
38,1,1,1,1,1,1,1,"X-ray","X-ray"
