"record_index","item_id","type","category","item","record_letter_count"
1,"JlAK6nk","prediction","Symptoms","Skeletal muscle paralysis/muscle weakness",734
1,"JlAK6no","prediction","Symptoms","Gait disturbance",734
1,"JlAK6ns","prediction","Symptoms","Sensory disturbance",734
2,"Jli6Y7Y","prediction","Examinations","Endocrine and metabolic function tests",580
3,"JlAK6lk","prediction","Symptoms","Fever",939
4,"JlAKyBA","prediction","Procedures","Basic sutures and suture removal",340
5,"JlAK6mA","prediction","Symptoms","Seizure",373
5,"Jli6Y7c","prediction","Examinations","Electroencephalography",373
5,"Jli6aBU","prediction","Examinations","MRI",373
6,"JlAK6nk","prediction","Symptoms","Skeletal muscle paralysis/muscle weakness",449
6,"JlAK6no","prediction","Symptoms","Gait disturbance",449
6,"JlAK6ns","prediction","Symptoms","Sensory disturbance",449
7,"JlAK6ls","prediction","Symptoms","Anorexia",1217
7,"JlAK6nE","prediction","Symptoms","Abdominal distention and abdominal mass",1217
7,"JkxirxA","prediction","Examinations","Ultrasound",1217
8,"JlAKx_w","prediction","Procedures","Venous blood sampling",461
9,"JlAKyAk","prediction","Procedures","Rapid bedside ultrasound (including FAST) for cinical decision-making",392
9,"JkxirxA","prediction","Examinations","Ultrasound",392
10,"JlAKyBA","prediction","Procedures","Basic sutures and suture removal",455
11,"JlAKyBA","prediction","Procedures","Basic sutures and suture removal",121
12,"JlAKx_w","prediction","Procedures","Venous blood sampling",685
12,"Jkxiryk","prediction","Examinations","Pregnancy test",685
13,"JlAKyA4","prediction","Procedures","Surgical hand washing",493
13,"JlAKyA8","prediction","Procedures","Gowning techniques in the operating room",493
13,"JlAKyBA","prediction","Procedures","Basic sutures and suture removal",493
14,"Jkxiryk","prediction","Examinations","Pregnancy test",157
14,"JlAKyBA","prediction","Procedures","Basic sutures and suture removal",157
15,"JlAKyA4","prediction","Procedures","Surgical hand washing",112
16,"JkxirxU","prediction","Examinations","Microbiological tests (bacterial smear, culture, identification, antibiotic sensitivity test)",965
16,"Jkxirxk","prediction","Examinations","Nuclear medicine examination",965
16,"JlAK6lo","prediction","Symptoms","General malaise",965
16,"JlAK6mQ","prediction","Symptoms","Cough and sputum production",965
16,"JlAK6mY","prediction","Symptoms","Dyspnea",965
16,"JlAK6mo","prediction","Symptoms","Abdominal pain",965
16,"JlAK6ms","prediction","Symptoms","Nausea and vomiting",965
16,"JlAK6nM","prediction","Symptoms","Abnormal urine output/urination",965
17,"JlAKyA4","prediction","Procedures","Surgical hand washing",119
18,"JlAK6lk","prediction","Symptoms","Fever",1473
18,"Jli6WXI","prediction","Examinations","Urinalysis",1473
18,"JkxirxU","prediction","Examinations","Microbiological tests (bacterial smear, culture, identification, antibiotic sensitivity test)",1473
18,"JlAK6ms","prediction","Symptoms","Nausea and vomiting",1473
18,"JlAK6nQ","prediction","Symptoms","Hematuria",1473
19,"JlAKyAw","prediction","Procedures","Blood glucose test",393
19,"Jli6Y7Y","prediction","Examinations","Endocrine and metabolic function tests",393
20,"JlAK6nc","prediction","Symptoms","Cognitive dysfunction",454
21,"JlAK6mc","prediction","Symptoms","Chest pain",79
22,"JlAKyA4","prediction","Procedures","Surgical hand washing",312
22,"JlAKyBA","prediction","Procedures","Basic sutures and suture removal",312
23,"JlAK6nc","prediction","Symptoms","Cognitive dysfunction",637
23,"JlAK6nM","prediction","Symptoms","Abnormal urine output/urination",637
23,"Jli6WXI","prediction","Examinations","Urinalysis",637
24,"JlAK6mY","prediction","Symptoms","Dyspnea",181
25,"JlAKyA8","prediction","Procedures","Gowning techniques in the operating room",73
26,"JkxirwY","prediction","Examinations","Full blood count",609
26,"Jli6WW4","prediction","Examinations","Blood biochemistry",609
27,"Jli6aBM","prediction","Examinations","CT",428
27,"Jli6aBU","prediction","Examinations","MRI",428
27,"Jkxirw4","prediction","Examinations","X-ray",428
28,"Jli6Y7Y","prediction","Examinations","Endocrine and metabolic function tests",261
29,"JlAKyBA","prediction","Procedures","Basic sutures and suture removal",77
30,"JlAK6lw","prediction","Symptoms","Weight loss",667
30,"JlAK6nk","prediction","Symptoms","Skeletal muscle paralysis/muscle weakness",667
31,"JkxirxA","prediction","Examinations","Ultrasound",671
31,"Jkxirw8","prediction","Examinations","Endoscopy",671
32,"JlAKyBA","prediction","Procedures","Basic sutures and suture removal",82
33,"Jub5cSY","prediction","Procedures","Skin antisepsis",126
33,"JlAKx_k","prediction","Procedures","Position change, transfer",126
34,"JlAK6nw","prediction","Symptoms","Back pain",471
35,"JkxirxY","prediction","Examinations","Arterial blood gas analysis",1358
35,"JlAKx_0","prediction","Procedures","Peripheral venous catheterization",1358
35,"JlAKyAA","prediction","Procedures","Insertion and extraction of nasogastric tube",1358
