"record_index","record_letter_count","accuracy","precision","recall","f1","sensitivity","specificity","jaccard","kappa","prediction","actual"
2,580,1,1,1,1,1,1,1,1,"Endocrine and metabolic function tests","Endocrine and metabolic function tests"
5,373,1,1,1,1,1,1,1,1,"Electroencephalography,MRI","Electroencephalography,MRI"
7,1217,0.96,0,0,0,0,0.96,0,0,"Ultrasound",""
9,392,1,1,1,1,1,1,1,1,"Ultrasound","Ultrasound"
11,121,0.72,0,0,0,0,1,0,0,"","Full blood count,Blood biochemistry,Coagulation/fibrinolysis,Histopathology and cytology (including intraoperative rapid diagnosis),X-ray,CT,MRI"
12,685,0.96,0,0,0,0,0.96,0,0,"Pregnancy test",""
14,157,0.88,0,0,0,0,0.956521739130435,0,-0.0563380281690137,"Pregnancy test","Histopathology and cytology (including intraoperative rapid diagnosis),MRI"
15,112,0.8,0,0,0,0,1,0,0,"","Full blood count,Blood biochemistry,Histopathology and cytology (including intraoperative rapid diagnosis),Ultrasound,X-ray"
16,965,0.92,0,0,0,0,0.92,0,0,"Microbiological tests (bacterial smear, culture, identification, antibiotic sensitivity test),Nuclear medicine examination",""
18,1473,0.88,1,0.4,0.571428571428572,0.4,1,0.4,0.516129032258065,"Urinalysis,Microbiological tests (bacterial smear, culture, identification, antibiotic sensitivity test)","Full blood count,Blood biochemistry,Immunoserology tests,Urinalysis,Microbiological tests (bacterial smear, culture, identification, antibiotic sensitivity test)"
19,393,1,1,1,1,1,1,1,1,"Endocrine and metabolic function tests","Endocrine and metabolic function tests"
23,637,0.96,0,0,0,0,0.96,0,0,"Urinalysis",""
26,609,0.96,1,0.666666666666667,0.8,0.666666666666667,1,0.666666666666667,0.778761061946902,"Full blood count,Blood biochemistry","Full blood count,Blood biochemistry,Immunoserology tests"
27,428,0.88,1,0.5,0.666666666666667,0.5,1,0.5,0.603174603174603,"CT,MRI,X-ray","Full blood count,Arterial blood gas analysis,Ultrasound,X-ray,CT,MRI"
28,261,1,1,1,1,1,1,1,1,"Endocrine and metabolic function tests","Endocrine and metabolic function tests"
31,671,1,1,1,1,1,1,1,1,"Ultrasound,Endoscopy","Ultrasound,Endoscopy"
32,82,0.72,0,0,0,0,1,0,0,"","Full blood count,Blood biochemistry,Coagulation/fibrinolysis,Immunoserology tests,Histopathology and cytology (including intraoperative rapid diagnosis),Ultrasound,X-ray"
35,1358,0.68,1,0.111111111111111,0.2,0.111111111111111,1,0.111111111111111,0.137931034482759,"Arterial blood gas analysis","Full blood count,Blood biochemistry,Coagulation/fibrinolysis,Arterial blood gas analysis,Pleural fluid analysis,Ultrasound,X-ray,CT,Endoscopy"
36,214,0.76,1,0.142857142857143,0.25,0.142857142857143,1,0.142857142857143,0.193548387096774,"Endocrine and metabolic function tests","Full blood count,Blood biochemistry,Urinalysis,Stool (fecal) examination,Endocrine and metabolic function tests,Ultrasound,CT"
37,239,1,1,1,1,1,1,1,1,"Endoscopy","Endoscopy"
38,165,1,1,1,1,1,1,1,1,"X-ray","X-ray"
